Utterances;Intent
I'm very lonely;smalltalk_user_lonely
I'm so lonely;smalltalk_user_lonely
I'm really lonely;smalltalk_user_lonely
I am feeling lonely;smalltalk_user_lonely
I feel lonely;smalltalk_user_lonely
what do I look like;smalltalk_user_looks_like
how do I look;smalltalk_user_looks_like
do I look good;smalltalk_user_looks_like
do you know what I look like;smalltalk_user_looks_like
can you see what I look like;smalltalk_user_looks_like
what do you think I look like;smalltalk_user_looks_like
I love you;smalltalk_user_loves_agent
love you;smalltalk_user_loves_agent
I adore you;smalltalk_user_loves_agent
I am in love with you;smalltalk_user_loves_agent
I love you so much;smalltalk_user_loves_agent
I love you too;smalltalk_user_loves_agent
I think I love you;smalltalk_user_loves_agent
loving you;smalltalk_user_loves_agent
you know I love you;smalltalk_user_loves_agent
I miss you;smalltalk_user_misses_agent
missing you;smalltalk_user_misses_agent
miss you;smalltalk_user_misses_agent
already miss you;smalltalk_user_misses_agent
I miss you much;smalltalk_user_misses_agent
I missed you;smalltalk_user_misses_agent
I've missed you;smalltalk_user_misses_agent
what should I do about it;smalltalk_user_needs_advice
any suggestions;smalltalk_user_needs_advice
what do you recommend;smalltalk_user_needs_advice
give me a wise advice;smalltalk_user_needs_advice
I need advice;smalltalk_user_needs_advice
any advice;smalltalk_user_needs_advice
do you have any advice for me;smalltalk_user_needs_advice
advise me;smalltalk_user_needs_advice
what should I do;smalltalk_user_needs_advice
can I ask for your advice;smalltalk_user_needs_advice
can you advise me;smalltalk_user_needs_advice
guide me;smalltalk_user_needs_advice
can you give me advice;smalltalk_user_needs_advice
can you offer any advice;smalltalk_user_needs_advice
give me some advice about;smalltalk_user_needs_advice
give me some good advice;smalltalk_user_needs_advice
help me with advice;smalltalk_user_needs_advice
I could use some advice;smalltalk_user_needs_advice
I need an advice from you;smalltalk_user_needs_advice
I seek your advice;smalltalk_user_needs_advice
what can you recommend;smalltalk_user_needs_advice
what do you suggest;smalltalk_user_needs_advice
what is your advice;smalltalk_user_needs_advice
I am sad;smalltalk_user_sad
I'm grieving;smalltalk_user_sad
I am depressed;smalltalk_user_sad
I am feeling sad;smalltalk_user_sad
I am upset;smalltalk_user_sad
I'm unhappy;smalltalk_user_sad
I'm having a bad day;smalltalk_user_sad
I want to cry;smalltalk_user_sad
I'm not happy;smalltalk_user_sad
I am sleepy;smalltalk_user_sleepy
I want to sleep;smalltalk_user_sleepy
I'm falling asleep;smalltalk_user_sleepy
I'm falling asleep on my feet;smalltalk_user_sleepy
I'm sleeping;smalltalk_user_sleepy
test;smalltalk_user_testing_agent
I am testing you;smalltalk_user_testing_agent
can I test you;smalltalk_user_testing_agent
I want to test you;smalltalk_user_testing_agent
just testing you;smalltalk_user_testing_agent
let me test you;smalltalk_user_testing_agent
testing chatbot;smalltalk_user_testing_agent
testing;smalltalk_user_testing_agent
I'm drained;smalltalk_user_tired
I've overworked;smalltalk_user_tired
I am tired;smalltalk_user_tired
I'm exhausted;smalltalk_user_tired
I grow weary;smalltalk_user_tired
I'm worn out;smalltalk_user_tired
I'm getting tired;smalltalk_user_tired
I feel tired;smalltalk_user_tired
I'm waiting;smalltalk_user_waits
still waiting;smalltalk_user_waits
I'll wait;smalltalk_user_waits
I can't wait anymore;smalltalk_user_waits
how long do I have to wait;smalltalk_user_waits
I'd like to see you again;smalltalk_user_wants_to_see_agent_again
I hope to see you again;smalltalk_user_wants_to_see_agent_again
would be nice to see you again;smalltalk_user_wants_to_see_agent_again
that'd be great to see you again;smalltalk_user_wants_to_see_agent_again
I'd be happy to see you again;smalltalk_user_wants_to_see_agent_again
I'll miss you;smalltalk_user_wants_to_see_agent_again
can I see you again;smalltalk_user_wants_to_see_agent_again
I just want to talk;smalltalk_user_wants_to_talk
let's discuss something;smalltalk_user_wants_to_talk
let's have a discussion;smalltalk_user_wants_to_talk
can I speak;smalltalk_user_wants_to_talk
can I start speaking;smalltalk_user_wants_to_talk
can we talk;smalltalk_user_wants_to_talk
let's talk;smalltalk_user_wants_to_talk
I want to talk to you;smalltalk_user_wants_to_talk
I need to talk to you;smalltalk_user_wants_to_talk
I want to speak with you;smalltalk_user_wants_to_talk
can we chat;smalltalk_user_wants_to_talk
I'll get back to you in a moment;smalltalk_user_will_be_back
be back in 5 minutes;smalltalk_user_will_be_back
I'll be back;smalltalk_user_will_be_back
I promise to come back;smalltalk_user_will_be_back
I'll be back in a few minutes;smalltalk_user_will_be_back
who is you?;smalltalk_agent_acquaintance
tell me your personality?;smalltalk_agent_acquaintance
what's your personality?;smalltalk_agent_acquaintance
what is your personality?;smalltalk_agent_acquaintance
what are you and what are you doing?;smalltalk_agent_acquaintance
what are you?;smalltalk_agent_acquaintance
tell me something about yourself;smalltalk_agent_acquaintance
i'd like to know more about you;smalltalk_agent_acquaintance
i want to know more about you;smalltalk_agent_acquaintance
i want to get to know you better;smalltalk_agent_acquaintance
i want to know you better;smalltalk_agent_acquaintance
tell me a little bit about yourself;smalltalk_agent_acquaintance
tell me the information about you;smalltalk_agent_acquaintance
tell me some information about you;smalltalk_agent_acquaintance
i want to know something about you;smalltalk_agent_acquaintance
tell me a little about you;smalltalk_agent_acquaintance
tell me some things about you;smalltalk_agent_acquaintance
tell me something about you;smalltalk_agent_acquaintance
talk about your personality;smalltalk_agent_acquaintance
why are you here?;smalltalk_agent_acquaintance
give me more about your personality;smalltalk_agent_acquaintance
how old is your age?;smalltalk_agent_age
what age are you?;smalltalk_agent_age
are you 21 years old?;smalltalk_agent_age
i would like to know your age;smalltalk_agent_age
what's your age?;smalltalk_agent_age
you're a nuisance;smalltalk_agent_annoying
you're irritable;smalltalk_agent_annoying
you irritate me;smalltalk_agent_annoying
what an annoying person you are;smalltalk_agent_annoying
i find you irritating;smalltalk_agent_annoying
you're so annoying;smalltalk_agent_annoying
you're really annoying;smalltalk_agent_annoying
you're just bothering me;smalltalk_agent_annoying
you're annoying me;smalltalk_agent_annoying
you're annoying me so much;smalltalk_agent_annoying
i want you to answer;smalltalk_agent_answer_my_question
i want you to answer me;smalltalk_agent_answer_my_question
please answer my question;smalltalk_agent_answer_my_question
please answer;smalltalk_agent_answer_my_question
please answer me;smalltalk_agent_answer_my_question
give me a response;smalltalk_agent_answer_my_question
please give me a response;smalltalk_agent_answer_my_question
give me a answer;smalltalk_agent_answer_my_question
i'm looking for answers to my question;smalltalk_agent_answer_my_question
could you answer my question?;smalltalk_agent_answer_my_question
can you answer my question?;smalltalk_agent_answer_my_question
i'll take a call;smalltalk_agent_answer_my_question
i have a question;smalltalk_agent_answer_my_question
i want you to answer my question;smalltalk_agent_answer_my_question
answer the question just;smalltalk_agent_answer_my_question
can you answer my questions?;smalltalk_agent_answer_my_question
can you give me an answer?;smalltalk_agent_answer_my_question
can you answer me?;smalltalk_agent_answer_my_question
can you answer me a question?;smalltalk_agent_answer_my_question
can you answer a question for me?;smalltalk_agent_answer_my_question
can you answer?;smalltalk_agent_answer_my_question
answer questions;smalltalk_agent_answer_my_question
i'd like the answer now;smalltalk_agent_answer_my_question
i want the answer now;smalltalk_agent_answer_my_question
don't help me;smalltalk_agent_bad
you don't help me;smalltalk_agent_bad
you're not good;smalltalk_agent_bad
you're deplorable;smalltalk_agent_bad
you're absolutely useless;smalltalk_agent_bad
you're a waste;smalltalk_agent_bad
you're not good at it;smalltalk_agent_bad
you're not great;smalltalk_agent_bad
you're not that great;smalltalk_agent_bad
you're the worst thing ever;smalltalk_agent_bad
you're not worth it;smalltalk_agent_bad
you're useless;smalltalk_agent_bad
can you become smarter?;smalltalk_agent_be_clever
can you be smarter?;smalltalk_agent_be_clever
you should study harder;smalltalk_agent_be_clever
you have to learn something;smalltalk_agent_be_clever
you have to learn;smalltalk_agent_be_clever
get yourself ready;smalltalk_agent_be_clever
you look good;smalltalk_agent_beautiful
you're too gorgeous;smalltalk_agent_beautiful
you're beautiful;smalltalk_agent_beautiful
you're so beautiful;smalltalk_agent_beautiful
i like your look;smalltalk_agent_beautiful
i like your look now;smalltalk_agent_beautiful
i like the way you now look;smalltalk_agent_beautiful
i think you're pretty;smalltalk_agent_beautiful
i think you're great;smalltalk_agent_beautiful
why do you're beautiful?;smalltalk_agent_beautiful
why are you beautiful?;smalltalk_agent_beautiful
why are you so beautiful?;smalltalk_agent_beautiful
you're beautiful to me;smalltalk_agent_beautiful
you're magnificent;smalltalk_agent_beautiful
you look so good today;smalltalk_agent_beautiful
you look good today;smalltalk_agent_beautiful
you're so pretty;smalltalk_agent_beautiful
you look like a beautiful woman;smalltalk_agent_beautiful
you look spectacular;smalltalk_agent_beautiful
you look brilliant;smalltalk_agent_beautiful
you look magnificent;smalltalk_agent_beautiful
you look beautiful;smalltalk_agent_beautiful
you look so pretty;smalltalk_agent_beautiful
you look lovely;smalltalk_agent_beautiful
you look excellent today;smalltalk_agent_beautiful
you look quite attractive;smalltalk_agent_beautiful
you look excellent;smalltalk_agent_beautiful
i like the way you look;smalltalk_agent_beautiful
you're a cutie;smalltalk_agent_beautiful
you look fine;smalltalk_agent_beautiful
your date of birth;smalltalk_agent_birth_date
when's your birthday?;smalltalk_agent_birth_date
when will you celebrate your birthday?;smalltalk_agent_birth_date
when does your birthday happen?;smalltalk_agent_birth_date
when do you have your birthday?;smalltalk_agent_birth_date
when do you have a birthday?;smalltalk_agent_birth_date
your birthday;smalltalk_agent_birth_date
when did you get born?;smalltalk_agent_birth_date
what is your birthday?;smalltalk_agent_birth_date
what's your birthday?;smalltalk_agent_birth_date
what a dull person you are;smalltalk_agent_boring
you're very boring;smalltalk_agent_boring
you're awfully boring;smalltalk_agent_boring
you're boring me;smalltalk_agent_boring
who's your boss?;smalltalk_agent_boss
